State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Maharashtra,Beed,GEORAI,Georai-1,7.74,1885,40.37,341.7,244.6,249,77.2,530,90.2,74.1,156.4,3.7,1.22,583,404.9,Unsuitable for Drinking
Assam,Morigaon,Mayong,Garmari Gaon,7.63,251.9,40.37,67.15,31.9,10.85,34.1,140,28.02,16.98,5.22,2.19,0.54,146,67.58,Good
Gujarat,Junagadh,Junagadh,Bilkha,7.5,1560,40.37,311,234,110,79,310,80,27,195,6.24,0.47,1045,415.42,Unsuitable for Drinking
Maharashtra,Beed,GEORAI,Tintarvani-1,7.59,3238,40.37,421,453.8,228.8,70.9,505,52.1,91.1,191.1,209,0.83,264,546.95,Unsuitable for Drinking
Assam,Karbi Anglong,Bokajan,Dillai,7.63,711.1,40.37,158.73,145.34,35.15,1.19,265,62.05,26.67,61.43,6.84,0.42,412,179.3,Poor
Gujarat,Junagadh,Malia,Budhecha,7,2200,40.37,427,418,108,54,640,100,95,210,1.14,0.6,1474,575.36,Unsuitable for Drinking
Maharashtra,Beed,PATODA,Anandgaon,7.86,782.8,40.37,317.3,31.9,59,41.9,285,36.1,47.4,40.7,1.6,0.79,1583,364.98,Unsuitable for Drinking
Assam,Kamrup,Dimaria,Khetri II,7.61,328.9,40.37,134.31,42.54,30.6,6.95,125,18.01,19.41,24.22,20.2,0.4,187,88.83,Good
Gujarat,Junagadh,Malia,Chorwad,7,4890,40.37,702,1206,92,77,1470,220,224,443,1.69,0.13,3276,1256.51,Unsuitable for Drinking
Maharashtra,Beed,PATODA,Dongar Kini-1,7.74,694.5,40.37,305.1,39,37.5,11.6,265,30.1,46.2,34.5,1,0.69,1013,265.44,Very Poor yet Drinkable
Assam,Karbi Anglong,Langsomepi,Bokoliaghat,7.6,160.9,40.37,36.63,53.18,2.17,14.65,30,8.01,2.42,27.4,14.84,0.32,93,45.49,Excellent
Gujarat,Junagadh,Malia,Galodar,7.8,780,40.37,232,99,50,6,300,44,46,40,1.4,0.29,523,205.72,Very Poor yet Drinkable
Maharashtra,Beed,MANJLEGAON,Dindrur-1,8.13,1556,40.37,549.2,95.7,57.4,80.2,250,18,49.8,185.3,2.7,1.52,668,360.38,Unsuitable for Drinking
Assam,SONITPUR,Balipara,Balipara,7.57,256.2,40.37,109.89,24.82,19.93,0.21,90,24.02,7.27,17.33,16.21,0.23,136,66.84,Good
Gujarat,Junagadh,Mangrol,Goraj1,7.8,1150,40.37,366,121,49,57,370,56,56,90,1.69,1.5,771,307.8,Unsuitable for Drinking
Maharashtra,Beed,BEED,Ghosapuri,7.74,919.7,40.37,262.4,85.1,58,45.4,325,42.1,53.5,39.7,1,0.95,968,293.3,Very Poor yet Drinkable
Assam,Baksa,Tamulpur,Tamulpur,7.57,854.3,40.37,366.29,262.33,6.48,11.01,350,42.03,59.45,84.67,68.87,0.58,471,234.77,Very Poor yet Drinkable
Gujarat,Junagadh,Junagadh,Junagadh1,7,1207,40.37,329,156,60,48,265,50,34,149,1.98,0.28,809,321.82,Unsuitable for Drinking
Maharashtra,Beed,GEORAI,Nagjhera,7.63,1691,40.37,341.7,187.9,160.4,65.8,470,44.1,87.5,104.5,4.4,0.98,1575,503.04,Unsuitable for Drinking
Assam,Kamrup,Chhaygaon,Bamunigaon,7.56,169.1,40.37,103.78,28.36,13.29,0.49,65,18.01,4.85,23.71,8.18,0.89,90,48.91,Excellent
Gujarat,Junagadh,Malia,Juthal,7.5,820,40.37,207,135,44,5,300,60,36,48,1.6,0.37,549,215.19,Very Poor yet Drinkable
Maharashtra,Beed,GEORAI,Kapildhar,7.85,1311,40.37,311.2,131.2,72.3,41.6,365,50.1,58.3,61.7,2.3,0.73,668,306.16,Unsuitable for Drinking
Assam,Baksa,Tamulpur,Kumarikata,7.56,651.7,40.37,305.24,194.98,7.05,3.08,245,40.03,35.17,78.85,56.99,0.46,351,180.58,Poor
Gujarat,Junagadh,Mangrol,Kalej,7.5,2150,40.37,403,383,169,30,290,80,22,356,2.46,1.51,1441,568.46,Unsuitable for Drinking
Maharashtra,Beed,PATODA,Naygaon,7.82,1281,40.37,347.8,124.1,71.9,45.4,400,28.1,80.2,58.5,1,0.73,1020,355.23,Unsuitable for Drinking
Assam,Cachar,Kalain,Kalain,7.56,486,40.37,195.36,248.15,12.49,1.84,260,42.03,37.6,76.31,42.26,0.27,252,142.31,Poor
Gujarat,Junagadh,Malia,Kanek,6.7,6701,40.37,610,1830,255,23,1950,688,56,625,22.29,0.15,4490,1726.15,Unsuitable for Drinking
Maharashtra,Beed,Kaij,Lokhandi Sawargaon-1,7.71,694.5,40.37,225.8,49.6,39.5,44.6,235,38.1,34,32.2,0.5,0.69,530,195.35,Poor
Assam,Bongaigaon,Srijangram,Abhayapuri,7.56,216,40.37,79.36,141.8,8.45,0.21,60,20.02,2.42,66.86,34.03,0.2,114,68.71,Good
Gujarat,Junagadh,Keshod,Kewarda,7.5,1060,40.37,342,128,45,41,430,68,63,44,1.76,0.33,710,282.86,Very Poor yet Drinkable
Maharashtra,Beed,GEORAI,Pinpalnar,7.74,1094,40.37,250.2,85.1,75.8,71.1,345,48.1,54.7,37.7,1,0.79,627,269.28,Very Poor yet Drinkable
Assam,Karbi Anglong,Langsomepi,Dishobai,7.56,341.1,40.37,244.2,28.36,3.38,6.19,155,44.04,10.9,36.12,11.73,0.69,197,98.16,Good
Gujarat,Junagadh,Malia,Khambalia1,7.6,4830,40.37,732,1241,50,20,1035,242,105,635,10.16,0.18,3236,1245.98,Unsuitable for Drinking
Maharashtra,Beed,Kaij,Kalegaon,7.85,717.5,40.37,231.9,56.7,35.6,38.7,255,36.1,40.1,28.1,0.8,0.82,935,255.6,Very Poor yet Drinkable
Assam,Barpeta,Chakchaka,Sorbhog,7.55,408.8,40.37,177.04,131.16,30.21,0.39,185,70.06,2.39,52.75,26.2,0.5,211,116.12,Poor
Gujarat,Junagadh,Mangrol,Khorada1,7.7,7880,40.37,244,2482,216,14,2150,680,109,815,0.39,0.22,5280,2003.27,Unsuitable for Drinking
Maharashtra,Beed,GEORAI,Shirsadevi,8.2,1006,40.37,500.4,24.8,29.4,60.6,125,16,20.7,165.7,2.7,1.57,585,267.51,Very Poor yet Drinkable
Assam,Tinsukia,Margherita,Lekhapani,7.55,150.5,40.37,73.26,10.64,16.86,1,85,18.01,9.7,2.83,3.78,0.08,80,40.38,Excellent
Gujarat,Junagadh,Malia,Kukaswada,7.7,723,40.37,128,106,78,40,220,80,5,65,1.32,0.58,484,195.58,Poor
Maharashtra,Beed,Beed,Chausala,7.73,778.6,40.37,250.2,67.4,38.8,59.6,285,24,54.7,37,1.3,0.78,507,207.46,Very Poor yet Drinkable
Assam,Kokrajhar,Dotoma,Dotma,7.54,241,40.37,134.31,42.54,33.58,38.19,165,46.04,12.11,7.82,3.46,0.42,126,68.94,Good
Gujarat,Junagadh,Mangrol,Lohej,7.2,1256,40.37,268,213,45,73,410,144,12,88,20.19,0.36,842,335.96,Unsuitable for Drinking
Maharashtra,Beed,ASHTI,Kasari,7.98,919.8,40.37,323.4,70.9,70.4,21.8,295,30.1,53.5,59.3,0.9,1.12,659,251.61,Very Poor yet Drinkable
Assam,SONITPUR,Balipara,Barchola,7.54,163.6,40.37,54.94,28.36,8.71,12.42,55,10.01,7.28,14.73,7.15,0.17,87,43.89,Excellent
Gujarat,Junagadh,Mangrol,Mangrol,7.5,2575,40.37,366,596,98,44,530,120,56,325,36.57,0.27,1725,670.12,Unsuitable for Drinking
Maharashtra,Beed,BEED,Kumbhawadi,7.84,873.8,40.37,329.5,46.1,45.8,64.3,280,28.1,51,52.4,7.1,1.35,246,188.78,Poor
Assam,Tinsukia,Margherita,Tirap Gate,7.51,181.4,40.37,48.84,21.27,20.39,38.19,70,10.01,10.92,5.28,2.22,0.08,96,44.89,Excellent
Gujarat,Junagadh,Mangrol,Manketara,7.4,1922,40.37,232,479,45,64,780,120,117,81,5.67,0.5,1288,494.64,Unsuitable for Drinking
Maharashtra,Beed,BEED,Aher Wadgaon,7.86,903.1,40.37,366.1,53.2,45.5,37.9,325,26.1,63.2,39.2,10.7,0.91,350,206.63,Very Poor yet Drinkable
Assam,Cachar,Kalain,Digharkhal,7.45,370.8,40.37,85.47,326.14,51.28,5.14,410,72.06,55.79,54.94,24.73,0.23,200,123.84,Poor
Gujarat,Junagadh,Mendarda,Mendarda1,7.4,2750,40.37,354,645,62,134,830,56,168,248,0.83,0.44,1843,712.16,Unsuitable for Drinking
Maharashtra,Beed,GEORAI,Dhondrai-1,7.84,851.1,40.37,225.8,85.1,58.7,31.5,305,58.1,38.9,28.3,0.9,0.75,560,221.92,Very Poor yet Drinkable
Assam,SONITPUR,Naduar,Tupia,7.44,231.2,40.37,134.31,7.09,10.73,4.46,115,20.02,15.77,1.86,16.06,0.22,123,61.4,Good
Gujarat,Junagadh,Bhesan,Patla,7.6,660,40.37,226,71,31,12,260,96,5,31,0.29,0.41,442,177.44,Poor
Maharashtra,Beed,NA,Uttareshwar Pimpri,7.74,1026,40.37,274.6,117,33,60.7,365,44.1,62,37,0.6,1.11,528,245.86,Very Poor yet Drinkable
Assam,Karbi Anglong,Bokajan,Silanijan,7.44,178.5,40.37,24.42,49.63,10.72,13.56,45,4,8.49,27.5,10.88,0.29,102,47.94,Excellent
Gujarat,Junagadh,Mangrol,Seriakhan,7.2,1250,40.37,305,177,67,64,430,100,44,82,14.48,0.5,838,333.72,Unsuitable for Drinking
Maharashtra,Beed,PATODA,Chumbli,8.13,519.2,40.37,256.3,17.7,20.4,9,95,30.1,4.9,69.5,3.2,0.86,666,188.49,Poor
Assam,Nagaon,Rupohi,Gomotha,7.42,596.6,40.37,378.5,49.63,13.35,22.38,235,6,53.4,54.56,20.82,0.65,335,164.44,Poor
Gujarat,Junagadh,Mangrol,Shardagram,7.4,9450,40.37,305,3021,204,21,2650,280,474,975,8.95,0.21,6332,2381.29,Unsuitable for Drinking
Maharashtra,Beed,ASHTI,Khadkhat,7.87,3104,40.37,305.1,521.1,61.6,68.6,675,138.3,80.2,173.6,25.2,0.97,350,514.08,Unsuitable for Drinking
Assam,SONITPUR,Dhekiajuli,Dhekiajuli,7.39,198.1,40.37,79.36,24.82,13.97,7.27,70,14.01,8.49,15.06,7.86,0.07,105,52.35,Good
Gujarat,Junagadh,Mangrol,Sil,7.6,700,40.37,232,78,29,22,270,84,15,36,1.08,0.22,469,188.12,Poor
Maharashtra,Beed,ASHTI,Ashti,8.17,712.9,40.37,189.2,85.1,41,37.5,120,32.1,9.7,93.9,0.8,1.58,363,175.16,Poor
Assam,Kamrup,Rani,Rani II,7.35,71.23,40.37,73.26,21.27,8.28,1.04,40,6,6.07,15.81,12.39,0.49,38,25.71,Excellent
Gujarat,Junagadh,Junagadh,Vadal,7.8,1540,40.37,317,262,76,75,540,60,95,96,1.94,0.32,1032,404.81,Unsuitable for Drinking
Maharashtra,Beed,ASHTI,Dhanora-1,7.99,797.2,40.37,286.8,124.1,54.8,22.3,370,46.1,62,36.7,2.8,1.04,862,266.4,Very Poor yet Drinkable
Assam,Chirang,Sidli,Garubassa,7.35,126.7,40.37,67.15,77.99,13.23,3.82,55,14.01,4.85,46.6,7.4,0.18,65,43.1,Excellent
Gujarat,Junagadh,Vanthali,Vanthali II,7.8,2000,40.37,659,245,75,40,470,40,90,242,0.46,0.63,1340,531.08,Unsuitable for Drinking
Maharashtra,Beed,PATODA,Sautada,7.92,709.8,40.37,305.1,56.7,28.3,25.8,195,70.1,4.9,97.2,2.8,0.8,856,252.04,Very Poor yet Drinkable
Assam,Hailakandi,Algapur,Burakhai,7.33,213.5,40.37,97.68,120.53,1.84,0.43,85,26.02,4.84,49.72,28.72,0.24,109,65.86,Good
Gujarat,Junagadh,Visavadar,Mandawad,8.2,760,40.37,220,135,44,3.1,290,36,49,57,1.9,0.17,509,203.09,Very Poor yet Drinkable
Maharashtra,Bhandara,SAKOLI,Sakoli,7.41,686.5,40.37,323.4,49.6,6.9,2.6,295,54.1,38.9,17.3,1.6,1.05,751,225.01,Very Poor yet Drinkable
Assam,Chirang,Bengtol,Runikhata,7.3,106.9,40.37,24.42,46.08,7.2,6.64,80,20.02,7.27,2.29,3.21,0.15,57,30.65,Excellent
Gujarat,Junagadh,Visavadar,Prempara,8.2,952,40.37,207,121,98,92,380,60,56,55,0.54,0.28,638,261.25,Very Poor yet Drinkable
Maharashtra,Bhandara,MOHADI,Tumsar Khapa,7.2,1465,40.37,335.6,230.4,95.1,42.3,425,80.2,54.7,127.1,5.9,1.1,761,355.76,Unsuitable for Drinking
Assam,Tinsukia,Margherita,Jagun,7.29,49.38,40.37,24.42,10.64,2.04,3.31,30,4,4.85,4.42,0.69,0.14,26,14.55,Excellent
Gujarat,Junagadh,Veraval,Ajotha,7.7,1563,40.37,220,376,80,41,500,100,61,138,1.6,0.39,1047,410.28,Unsuitable for Drinking
Maharashtra,Bhandara,MOHADI,Jamb,7.25,1305,40.37,329.5,163.1,82.1,65.8,425,86.2,51,90,3.6,0.6,749,329.4,Unsuitable for Drinking
Assam,Kokrajhar,Dotoma,Serfanguri,7.17,151.4,40.37,91.57,77.99,10.18,0.66,200,20.02,36.4,5.09,3.15,0.24,79,47.85,Excellent
Gujarat,Junagadh,Veraval,Govindpura2,7.4,667,40.37,281,71,19,20,280,76,22,38,1.5,0.53,447,183.28,Poor
Maharashtra,Bhandara,BHANDARA,Palari,7.12,1383,40.37,219.7,255.2,93.5,88.3,490,128.3,41.3,89.2,0.7,0.61,327,282.81,Very Poor yet Drinkable
Assam,Cachar,Palanghat,Palanghat,7.07,576.1,40.37,207.57,219.79,20.38,0.14,325,44.04,52.16,47.15,18.58,0.49,304,156.76,Poor
Gujarat,Junagadh,Veraval,Moraj,7.8,1068,40.37,159,262,37,15,250,76,15,130,0.32,0.93,716,279.72,Very Poor yet Drinkable
Maharashtra,Bhandara,BHANDARA,Daodipar Khapa,7.56,1109,40.37,195.3,184.3,68.4,79.3,395,84.2,45,65.2,3.9,1.06,598,274.49,Very Poor yet Drinkable
Assam,Goalpara,Rongjuli,Rongjuli,7.06,136.8,40.37,152.62,70.9,9.55,0.31,105,38.03,2.41,48.84,18.98,0.27,70,52.83,Good
Gujarat,Junagadh,Talala,Talala1,7.7,758,40.37,329,78,26,14,270,56,32,67,1,0.26,508,207.84,Very Poor yet Drinkable
Maharashtra,Bhandara,SAKOLI,Ekodi,7.69,170.2,40.37,73.2,10.6,6.9,4.1,70,20,4.9,5.2,2.8,0.66,615,118.53,Poor
Assam,Karimganj,Badarpur,Badarpur,7,289.3,40.37,48.84,198.52,11.59,2,90,30.02,3.63,77.09,34.75,0.17,147,85.81,Good
Gujarat,Junagadh,Una,Jamvala1,7.8,478,40.37,220,43,17,5.9,190,44,19,34,0.35,0.34,320,131.52,Poor
Maharashtra,Bhandara,TUMSAR,Sihora,7.51,1001,40.37,244.1,138.3,66.8,42,360,38.1,64.4,53,6.6,0.61,359,220.11,Very Poor yet Drinkable
Assam,Cachar,Borkhola,Borkhola,6.71,224.5,40.37,67.15,191.43,8.02,0.79,170,28.02,24.26,65.16,25.19,0.22,117,73.76,Good
Gujarat,Junagadh,Una,Prasli,7.8,979,40.37,256,142,51,42,250,68,19,91,35,1.2,656,263.82,Very Poor yet Drinkable
Maharashtra,Bhandara,TUMSAR,Chicholi,7.67,637.7,40.37,231.9,49.6,51.8,15.3,195,34.1,26.7,48.3,17.3,0.71,390,167.98,Poor
Assam,Cachar,Barjalenga,Borjalinga,6.7,88.52,40.37,85.47,60.26,2.17,0.93,50,8.01,7.28,33.1,16.4,0.11,47,33.96,Excellent
Gujarat,Junagadh,Kodinar,Kodinar1,7.8,2188,40.37,305,581,87,44,671,104,100,230,0.93,0.8,1466,574.18,Unsuitable for Drinking
Maharashtra,Bhandara,LAKHANDUR,Madgi,7.6,627,40.37,183.1,63.8,31.9,40.3,265,40.1,40.1,21.6,1.7,0.96,520,182.05,Poor
Assam,Kokrajhar,Kokrajhar,Bisumari,6.69,73.65,40.37,61.05,56.72,16.02,3.22,150,10.01,30.33,2.96,3.84,0.16,38,28.81,Excellent
Gujarat,Junagadh,Una,Una2,8.1,2965,40.37,708,525,195,41,580,72,97,469,2.8,2.2,1987,790.62,Unsuitable for Drinking
Maharashtra,Bhandara,MOHADI,Usarra,7.29,1534,40.37,305.1,212.7,137.8,89,390,76.2,48.6,105.2,91.6,0.95,564,345.93,Unsuitable for Drinking
Assam,Cachar,Lakhipur,Fulertol,6.61,224.8,40.37,85.47,148.89,13.61,0.26,60,14.01,6.06,67.95,46.25,0.2,120,72.69,Good
Gujarat,Junagadh,Una,Kansari,7.7,1468,40.37,415,199,71,132,440,104,44,152,1.9,0.77,984,404.55,Unsuitable for Drinking
Maharashtra,Bhandara,BHANDARA,Bhandara,7.76,650.1,40.37,292.9,35.5,35.1,6.7,245,30.1,41.3,38.4,3.1,0.89,509,186.19,Poor
Assam,Goalpara,Balijana,Dwarka,6.54,128.2,40.37,85.47,116.98,10.38,0.66,95,20.02,10.91,48.98,17.11,0.16,67,48.82,Excellent
Gujarat,Junagadh,Una,Girgadhada,7.8,832,40.37,342,71,33,47,350,72,41,51,0.66,0.28,557,229.56,Very Poor yet Drinkable
Maharashtra,Bhandara,PAUNI,Pauni,7.79,569.8,40.37,207.5,46.1,47.2,7.5,155,20,25.5,61.3,1.7,0.78,427,160.54,Poor
Assam,Cachar,Palanghat,Atalbasti,6.35,164.2,40.37,36.63,134.71,9.32,1.54,40,10.01,3.64,55.34,38.53,0.15,88,54.01,Good
Gujarat,Junagadh,Una,Dhokadva,8.2,721,40.37,354,50,23,3.5,310,44,49,40,2,0.22,483,196.34,Poor
Maharashtra,Bhandara,LAKHANDUR,Lakhandur,7.67,181.6,40.37,91.5,7.1,70.92,5.3,75,20,6.1,5.9,2.9,0.73,1801,290.17,Very Poor yet Drinkable
Assam,Goalpara,Krishnai,Salpara,6.2,80.24,40.37,54.94,127.62,7.7,0.71,55,14.01,4.85,55.74,27.28,0.09,41,38.03,Excellent
Gujarat,Junagadh,Una,Sametar,8.2,396,40.37,195,28,15,1.6,170,36,19,22,1.6,0.26,265,109.01,Poor
Maharashtra,Bhandara,MOHADI,Varti,7.76,417.7,40.37,183.1,21.3,18.4,10.3,140,14,25.5,28.6,3.2,0.92,741,178.92,Poor
Assam,Goalpara,Balijana,Baida,6.02,60.16,40.37,42.73,85.08,7.87,0.62,65,10.01,9.7,35.24,5.51,0.16,31,27.11,Excellent
Gujarat,Kachchh,Rapar,Kuda,7.4,1626,40.37,671,178,40,18,480,128,39,140,32,2.33,1089,440.2,Unsuitable for Drinking
Maharashtra,Bhandara,SAKOLI,Sakra,7.57,548,40.37,91.5,102.8,50,2.1,175,30.1,24.3,24.4,34.2,0.63,710,193.2,Poor
Assam,Cachar,Barjalenga,Kathaltila,5.97,70.89,40.37,24.42,77.99,9.55,0.82,55,4,10.92,28.15,11.42,0.21,38,26.98,Excellent
Gujarat,Kachchh,Kharol Bhachau,Kharoi,7.5,2300,40.37,305,497,166,1,870,168,109,152,6.9,0.35,1541,592.91,Unsuitable for Drinking
Maharashtra,Bhandara,MOHADI,Dahegaon2,7.48,560.4,40.37,170.9,56.7,49.5,3.8,135,16,23.1,52.3,15.3,0.66,506,168.18,Poor
Assam,Cachar,Lakhipur,Tarapur,5.1,297.1,40.37,30.52,219.79,5.52,1.01,190,30.02,27.9,45.9,27.38,0.16,156,85.72,Good
Gujarat,Kachchh,Bhuj,Sedat,7.9,782,40.37,268,107,42,38.19,330,60,44,48,3.6,0.19,524,209.57,Very Poor yet Drinkable
Maharashtra,Bhandara,BHANDARA,Ambadi,7.66,844.4,40.37,122,170.2,51.2,22.4,325,60.1,42.5,36.5,19.1,0.68,285,179.76,Poor
Bihar,Saran,Ekma,Bishunpur,8.2,650,40.37,171,53,53,65,170,50,11,65,13,0.38,423,177.62,Poor
Gujarat,Kachchh,Bhuj,Sukhpar,7.6,10550,40.37,281,2982,2400,175,2700,580,304,1778,9,1.63,7069,2932.6,Unsuitable for Drinking
Maharashtra,Bhandara,BHANDARA,Shrinagar,7.71,1708,40.37,286.8,379.3,72.2,11.2,615,20,137.3,86.2,11.3,1.05,306,316.99,Unsuitable for Drinking
Bihar,Saran,Chapra,Chirand,8.18,642,40.37,195,82,23,30,190,66,6,52,15,0.71,417,172.18,Poor
Gujarat,Kachchh,Bhuj,Haboi,7.5,1641,40.37,317,256,210,15,550,96,75,150,16,1.46,1099,437.12,Unsuitable for Drinking
Maharashtra,Bhandara,PAUNI,Kawalewada,7.52,489.6,40.37,140.3,67.4,19.1,30.8,185,38.1,21.9,23.8,9.1,0.69,1133,247.77,Very Poor yet Drinkable
Bihar,Saran,Ekma,Ekma,8.2,461,40.37,128,67,14,12,120,28,12,46,6.95,0.53,300,121.4,Poor
Gujarat,Kachchh,Bhuj,Lodai,7.5,4680,40.37,390,873,867,4,1100,200,146,541,33,0.92,3136,1237.44,Unsuitable for Drinking
Maharashtra,Bhandara,BHANDARA,Pagora,7.32,910.7,40.37,378.3,63.8,32.1,13.3,200,22,35.2,115.5,2.4,1.87,293,199.06,Poor
Bihar,Saran,Garkha,Garkha,8.19,398,40.37,116,43,11,33,110,30,9,35,7.25,0.34,259,107.34,Poor
Gujarat,Kachchh,Bhuj,Khavda,7.9,2632,40.37,329,511,235,2,580,116,71,318,21,0.55,1763,679.88,Unsuitable for Drinking
Maharashtra,Bhandara,SAKOLI,Masal,7.56,465,40.37,146.4,56.7,13.3,30.5,145,26.1,19.4,37,9.8,0.95,190,109.07,Poor
Bihar,Saran,Baniapur,Manopali,8.12,929,40.37,262,107,37,71,285,106,23,76,12,0.68,604,250.95,Very Poor yet Drinkable
Gujarat,Kachchh,Nakhtrana,Devisar,7.6,5480,40.37,281,1456,351,16,1500,344,156,447,88,2.85,3672,1396.2,Unsuitable for Drinking
Maharashtra,Bhandara,SAKOLI,Murmadi,7.92,706.1,40.37,152.6,138.3,22.7,9.7,150,26.1,20.7,92.3,11.6,1.31,1881,387.33,Unsuitable for Drinking
Bihar,Saran,Marhaura,Marhaura,8.14,617,40.37,189,36,94,10,200,60,12,45,11,0.41,401,166.87,Poor
Gujarat,Kachchh,Nakhtrana,Ugardi,7.9,7730,40.37,390,2095,846,42,1370,228,195,1184,7.4,0.65,5179,2023.74,Unsuitable for Drinking
Maharashtra,Bhandara,TUMSAR,Landejhari,7.96,755.4,40.37,213.6,102.8,35.9,22.2,145,8,30.4,101.2,7.5,0.94,593,213.75,Very Poor yet Drinkable
Bihar,Saran,Garkha,Minapur,7.97,1470,40.37,329,192,95,75,415,136,18,122,18,0.38,956,387.6,Unsuitable for Drinking
Gujarat,Kachchh,Abdasa,Naliya,8.7,1271,60,464,142,55,12,80,16,10,300,2.8,1.09,852,346.17,Unsuitable for Drinking
Maharashtra,Bhandara,TUMSAR,Paunarkhairi,7.55,656.8,40.37,274.6,42.5,19.9,29.6,140,6,30.4,76.5,10,1.34,3357,595.66,Unsuitable for Drinking
Bihar,Saran,Jalalpur,Nagra,8.13,511,40.37,244,11,11,31,170,50,11,32,12,0.47,332,139.92,Poor
Gujarat,Kachchh,Abdasa,Tera,8.4,2748,120,451,469,255,49,260,44,36,586,6.2,6.7,1841,729.48,Unsuitable for Drinking
Maharashtra,Bhandara,TUMSAR,Khair Langi,7.92,2282,40.37,488.2,489.2,63.1,4.6,395,8,91.1,338.6,5.9,1.66,716,477.95,Unsuitable for Drinking
Bihar,Siwan,Bhagwanpur,Malmalia Chowk,8.14,320,40.37,92,25,23,31,130,40,7,5,14,0.63,208,87.77,Good
Gujarat,Kachchh,Abdasa,Kotaya,8.3,1593,40.37,464,277,107,20,250,40,36,325,1.3,4.05,1067,435.62,Unsuitable for Drinking
Maharashtra,Bhandara,TUMSAR,Gobarwahi,7.72,553.8,40.37,158.7,67.4,36.1,2.6,140,14,25.5,65,2,1.82,361,144.85,Poor
Bihar,Siwan,Bhagwanpurhat,Sarripatti,7.87,1805,40.37,384,231,168,105,435,150,15,183,54,0.21,1173,483.57,Unsuitable for Drinking
Gujarat,Kachchh,Mandvi,Dunai,8,1297,40.37,488,149,83,11,460,100,51,119,2.1,0.96,869,352.77,Unsuitable for Drinking
Maharashtra,Bhandara,BHANDARA,Dhargaon-1,7.78,875.3,40.37,219.7,131.2,47.3,14.9,310,24,60.8,57.9,5.5,2.06,351,195.21,Poor
Bihar,Siwan,Barharia,Tarwara,8.13,678,40.37,232,75,24,21,215,72,9,52,6.5,0.75,441,181.07,Poor
Gujarat,Kachchh,Mundra,Luni,8,2700,40.37,586,547,86,18,430,84,54,422,13,0.89,1809,708.18,Unsuitable for Drinking
Maharashtra,Bhandara,SAKOLI,Mundipar Sadak,7.52,743.4,40.37,292.9,63.8,30.4,8.3,270,50.1,35.2,34.5,12.3,1.6,449,191.61,Poor
Bihar,Vaishali,Goraul,Baksama,8.14,404,40.37,201,14,4.23,11,145,54,2,25,2.1,0.39,263,109.81,Poor
Gujarat,Kachchh,Mundra,Bhadreshwar,8.1,2345,40.37,305,525,111,15,710,148,83,206,9.3,0.35,1571,601.97,Unsuitable for Drinking
Maharashtra,Buldhana,MEHKAR,Mehkar,7.53,2072,40.37,476,276.5,164.2,90,795,230.5,53.5,95.9,6.2,0.49,2919,770.96,Unsuitable for Drinking
Bihar,Vaishali,Goraul,Chandpur Kala,8.17,607,40.37,244,53,17,12,205,70,7,42,6.3,0.21,395,162.72,Poor
Gujarat,Kachchh,Gandhidham,Shinaya,8,7375,40.37,464,2016,508,2,1030,232,109,1380,7,1.16,4941,1914.12,Unsuitable for Drinking
Maharashtra,Buldhana,DEULGAON RAJA,Deolgaon Raja,7.57,1642,40.37,451.5,177.3,149.9,86.5,625,122.2,77.8,74.7,0.7,0.49,564,365.46,Unsuitable for Drinking
Bihar,Vaishali,Garaul,Garaul,8.2,693,40.37,159,124,17,26,220,66,11,51,12,0.87,450,181.91,Poor
Gujarat,Kheda,Kapadvanj,Kapadvanj,7.2,1794,40.37,805,142,30,37,200,44,22,336,14,2.5,1202,490.4,Unsuitable for Drinking
Maharashtra,Buldhana,DEULGAON RAJA,Sindkhed Raja,7.79,727,40.37,286.8,67.4,28.6,7.6,270,58.1,30.4,26.6,10.5,0.28,254,161.14,Poor
Bihar,Vaishali,Vaishali,Hajipur,8.16,556,40.37,189,28,35,51,205,70,7,30,5.5,0.61,361,152.02,Poor
Gujarat,Kheda,Kathlal,Ladvel,7.5,1975,40.37,439,411,33,2,460,96,54,215,13,0.58,1323,512.3,Unsuitable for Drinking
Maharashtra,Buldhana,CHIKHLI,Kelwad,7.68,1498,40.37,500.4,148.9,63.6,36.5,460,50.1,81.4,66,36.9,0.38,290,292.34,Very Poor yet Drinkable
Bihar,Vaishali,Goraul,Harpur,8.13,560,40.37,207,21,47,42,215,64,13,29,4.62,0.72,364,153.63,Poor
Gujarat,Kheda,Virpur,Bar,7.4,677,40.37,305,50,21,2.4,200,32,29,55,23,0.73,454,183.26,Poor
Maharashtra,Buldhana,LONAR,Sultanpur,7.55,1658,40.37,427.1,237.5,70,33.5,485,80.2,69.3,105.3,5.4,0.42,263,310.15,Unsuitable for Drinking
Bihar,Vaishali,Bidupur,Kachanpur,8.16,426,40.37,226,14,4.81,9.54,140,44,7,31,6.25,0.62,277,116.48,Poor
Gujarat,Kheda,Mahudha,Mahudha,7.7,2580,40.37,683,411,123,18,520,60,90,341,34,0.75,1729,680.05,Unsuitable for Drinking
Maharashtra,Buldhana,LONAR,Lonar1,7.66,2015,40.37,598,265.9,75.5,38.6,680,120.2,92.3,97.8,29.8,0.15,271,374.38,Unsuitable for Drinking
